EmployeeID,SalaryAnnual,BonusPct,PerformanceRating,SatisfactionScore,SalaryBand
E00001,212000,5,4,4,High (100k+)
E00002,170000,0,4,5,High (100k+)
E00003,96000,10,3,8,Mid (60-100k)
E00004,70000,5,3,7,Mid (60-100k)
E00005,74000,5,5,8,Mid (60-100k)
E00006,156500,10,3,1,High (100k+)
E00007,158000,5,5,8,High (100k+)
E00008,82000,0,3,5,Mid (60-100k)
E00009,56000,5,5,8,Low (<60k)
E00010,163500,15,4,6,High (100k+)
E00011,168000,15,4,8,High (100k+)
E00012,71500,15,3,9,Mid (60-100k)
E00013,95500,0,4,6,Mid (60-100k)
E00014,168000,5,4,7,High (100k+)
E00015,51000,0,3,4,Low (<60k)
E00016,83000,0,4,5,Mid (60-100k)
E00017,228500,5,4,4,High (100k+)
E00018,73500,5,3,5,Mid (60-100k)
E00019,57000,0,5,7,Low (<60k)
E00020,157000,5,4,8,High (100k+)
E00021,96500,10,3,9,Mid (60-100k)
E00022,55000,0,4,8,Low (<60k)
E00023,99000,5,4,6,Mid (60-100k)
E00024,94500,0,5,8,Mid (60-100k)
E00025,144000,15,4,9,High (100k+)
E00026,92000,0,4,4,Mid (60-100k)
E00027,83000,15,3,5,Mid (60-100k)
E00028,131500,0,5,4,High (100k+)
E00029,63000,5,3,7,Mid (60-100k)
E00030,92500,10,3,7,Mid (60-100k)
E00031,82000,5,5,2,Mid (60-100k)
E00032,195500,10,5,6,High (100k+)
E00033,86000,15,4,4,Mid (60-100k)
E00034,144000,15,4,5,High (100k+)
E00035,207500,10,3,4,High (100k+)
E00036,128000,0,5,6,High (100k+)
E00037,258500,0,5,6,High (100k+)
E00038,112000,5,5,7,High (100k+)
E00039,90500,5,5,8,Mid (60-100k)
E00040,99500,0,3,6,Mid (60-100k)
E00041,140500,0,2,4,High (100k+)
E00042,141000,5,4,10,High (100k+)
E00043,100500,5,3,5,High (100k+)
E00044,60500,5,5,7,Mid (60-100k)
E00045,76000,10,5,5,Mid (60-100k)
E00046,102500,0,4,5,High (100k+)
E00047,126000,5,5,6,High (100k+)
E00048,152000,10,5,6,High (100k+)
E00049,70500,0,4,9,Mid (60-100k)
E00050,127000,0,4,4,High (100k+)
E00051,124000,5,5,6,High (100k+)
E00052,88500,0,2,5,Mid (60-100k)
E00053,158000,10,3,8,High (100k+)
E00054,112500,5,3,4,High (100k+)
E00055,69000,0,4,2,Mid (60-100k)
E00056,57000,0,3,9,Low (<60k)
E00057,83500,15,5,9,Mid (60-100k)
E00058,67500,10,1,6,Mid (60-100k)
E00059,93000,0,4,5,Mid (60-100k)
E00060,100500,20,4,6,High (100k+)
E00061,83000,5,3,8,Mid (60-100k)
E00062,68000,10,5,4,Mid (60-100k)
E00063,90500,0,4,8,Mid (60-100k)
E00064,80500,0,3,7,Mid (60-100k)
E00065,99000,0,3,6,Mid (60-100k)
E00066,96000,5,3,7,Mid (60-100k)
E00067,60000,20,5,5,Mid (60-100k)
E00068,80500,15,5,6,Mid (60-100k)
E00069,102500,15,3,4,High (100k+)
E00070,83000,5,3,7,Mid (60-100k)
E00071,111500,10,2,6,High (100k+)
E00072,77500,5,5,5,Mid (60-100k)
E00073,149000,5,3,8,High (100k+)
E00074,153000,5,1,8,High (100k+)
E00075,63000,10,3,4,Mid (60-100k)
E00076,74000,5,3,9,Mid (60-100k)
E00077,156500,5,3,8,High (100k+)
E00078,125500,10,3,8,High (100k+)
E00079,66000,15,4,7,Mid (60-100k)
E00080,177000,0,4,8,High (100k+)
E00081,274000,10,4,8,High (100k+)
E00082,99000,0,3,8,Mid (60-100k)
E00083,84000,0,4,5,Mid (60-100k)
E00084,88000,5,5,6,Mid (60-100k)
E00085,68500,0,4,7,Mid (60-100k)
E00086,97000,20,4,8,Mid (60-100k)
E00087,103000,0,3,4,High (100k+)
E00088,88000,0,5,7,Mid (60-100k)
E00089,122500,0,5,7,High (100k+)
E00090,120000,5,3,8,High (100k+)
E00091,205000,15,4,7,High (100k+)
E00092,154500,0,5,7,High (100k+)
E00093,160500,5,4,7,High (100k+)
E00094,129000,0,4,8,High (100k+)
E00095,119000,10,5,6,High (100k+)
E00096,97500,0,3,6,Mid (60-100k)
E00097,81000,5,5,5,Mid (60-100k)
E00098,91000,0,4,4,Mid (60-100k)
E00099,68500,10,4,5,Mid (60-100k)
E00100,59000,5,5,3,Low (<60k)
E00101,102000,5,2,2,High (100k+)
E00102,185500,0,4,5,High (100k+)
E00103,74500,10,4,8,Mid (60-100k)
E00104,222500,0,4,8,High (100k+)
E00105,104000,0,5,8,High (100k+)
E00106,89000,10,2,6,Mid (60-100k)
E00107,80500,5,4,10,Mid (60-100k)
E00108,109000,10,4,9,High (100k+)
E00109,93000,10,3,6,Mid (60-100k)
E00110,144500,0,4,7,High (100k+)
E00111,115000,5,4,7,High (100k+)
E00112,192000,15,5,6,High (100k+)
E00113,145500,15,3,8,High (100k+)
E00114,146500,0,4,10,High (100k+)
E00115,125000,0,3,5,High (100k+)
E00116,139000,5,3,8,High (100k+)
E00117,106000,10,4,7,High (100k+)
E00118,101000,5,4,5,High (100k+)
E00119,140500,0,3,9,High (100k+)
E00120,103000,5,4,8,High (100k+)
E00121,285500,5,3,7,High (100k+)
E00122,82500,10,4,4,Mid (60-100k)
E00123,102000,0,5,8,High (100k+)
E00124,58000,5,2,6,Low (<60k)
E00125,186500,0,5,5,High (100k+)
E00126,85500,0,4,8,Mid (60-100k)
E00127,97000,0,3,7,Mid (60-100k)
E00128,55000,15,4,8,Low (<60k)
E00129,73000,0,4,4,Mid (60-100k)
E00130,126000,0,3,3,High (100k+)
E00131,100000,15,3,4,High (100k+)
E00132,143000,0,3,6,High (100k+)
E00133,77500,0,4,8,Mid (60-100k)
E00134,82500,10,5,4,Mid (60-100k)
E00135,108500,10,5,7,High (100k+)
E00136,68500,15,3,4,Mid (60-100k)
E00137,97500,0,4,5,Mid (60-100k)
E00138,102500,0,5,1,High (100k+)
E00139,78500,0,4,7,Mid (60-100k)
E00140,119000,15,4,4,High (100k+)
E00141,99000,20,5,7,Mid (60-100k)
E00142,114500,0,4,8,High (100k+)
E00143,56000,20,3,5,Low (<60k)
E00144,130000,10,5,4,High (100k+)
E00145,101500,15,5,6,High (100k+)
E00146,262000,15,4,7,High (100k+)
E00147,74500,5,3,5,Mid (60-100k)
E00148,97000,0,3,6,Mid (60-100k)
E00149,172500,15,4,7,High (100k+)
E00150,66500,0,5,5,Mid (60-100k)
E00151,63000,20,4,7,Mid (60-100k)
E00152,148000,10,4,6,High (100k+)
E00153,138000,15,5,9,High (100k+)
E00154,150000,0,5,7,High (100k+)
E00155,58000,10,4,5,Low (<60k)
E00156,79000,10,3,6,Mid (60-100k)
E00157,87000,0,4,10,Mid (60-100k)
E00158,46500,0,4,5,Low (<60k)
E00159,111500,0,3,6,High (100k+)
E00160,57000,10,3,8,Low (<60k)
E00161,137500,0,4,8,High (100k+)
E00162,152000,0,5,6,High (100k+)
E00163,86500,10,5,7,Mid (60-100k)
E00164,90500,0,5,5,Mid (60-100k)
E00165,127000,0,4,4,High (100k+)
E00166,157000,0,4,3,High (100k+)
E00167,127000,5,3,7,High (100k+)
E00168,66500,5,4,10,Mid (60-100k)
E00169,136500,15,4,4,High (100k+)
E00170,116500,0,5,4,High (100k+)
E00171,130500,0,5,3,High (100k+)
E00172,65500,5,4,7,Mid (60-100k)
E00173,106000,5,4,5,High (100k+)
E00174,157000,0,4,4,High (100k+)
E00175,96500,5,2,7,Mid (60-100k)
E00176,150000,0,4,6,High (100k+)
E00177,84500,5,3,5,Mid (60-100k)
E00178,131500,0,4,4,High (100k+)
E00179,163000,0,4,8,High (100k+)
E00180,82000,20,5,7,Mid (60-100k)
E00181,89000,0,4,6,Mid (60-100k)
E00182,114000,5,4,7,High (100k+)
E00183,83000,5,3,8,Mid (60-100k)
E00184,195000,5,4,10,High (100k+)
E00185,88500,5,5,6,Mid (60-100k)
E00186,197000,20,2,7,High (100k+)
E00187,103000,0,5,9,High (100k+)
E00188,117000,0,4,6,High (100k+)
E00189,150000,10,3,8,High (100k+)
E00190,124500,20,4,8,High (100k+)
E00191,85000,0,5,3,Mid (60-100k)
E00192,64500,20,5,7,Mid (60-100k)
E00193,146500,0,3,7,High (100k+)
E00194,95500,10,3,5,Mid (60-100k)
E00195,83500,5,2,5,Mid (60-100k)
E00196,142000,0,4,6,High (100k+)
E00197,81000,5,4,6,Mid (60-100k)
E00198,51500,15,4,6,Low (<60k)
E00199,154000,0,3,6,High (100k+)
E00200,60000,5,3,6,Mid (60-100k)
E00201,210000,20,2,7,High (100k+)
E00202,64000,0,3,1,Mid (60-100k)
E00203,190000,0,3,6,High (100k+)
E00204,282500,0,3,6,High (100k+)
E00205,166500,5,4,9,High (100k+)
E00206,149000,0,4,4,High (100k+)
E00207,94000,0,3,7,Mid (60-100k)
E00208,92000,0,3,6,Mid (60-100k)
E00209,82500,5,4,4,Mid (60-100k)
E00210,72000,5,4,1,Mid (60-100k)
E00211,78500,15,4,6,Mid (60-100k)
E00212,114500,5,3,4,High (100k+)
E00213,73500,15,3,7,Mid (60-100k)
E00214,57000,0,4,6,Low (<60k)
E00215,81000,5,4,7,Mid (60-100k)
E00216,60000,0,3,5,Mid (60-100k)
E00217,163500,10,4,7,High (100k+)
E00218,66000,5,3,8,Mid (60-100k)
E00219,78500,0,3,5,Mid (60-100k)
E00220,145500,15,3,5,High (100k+)
E00221,164000,5,4,8,High (100k+)
E00222,93000,0,2,6,Mid (60-100k)
E00223,82000,10,5,8,Mid (60-100k)
E00224,112000,15,3,3,High (100k+)
E00225,124000,0,3,5,High (100k+)
E00226,43500,0,3,1,Low (<60k)
E00227,141000,5,4,3,High (100k+)
E00228,75000,5,4,7,Mid (60-100k)
E00229,84500,10,5,7,Mid (60-100k)
E00230,46500,5,4,7,Low (<60k)
