EventID,EmployeeID,EventType,EventDate,Detail
EVT-HIRE-E00001,E00001,Hire,2021-05-02,
EVT-HIRE-E00002,E00002,Hire,2021-03-29,
EVT-HIRE-E00003,E00003,Hire,2020-11-08,
EVT-HIRE-E00004,E00004,Hire,2024-06-21,
EVT-HIRE-E00005,E00005,Hire,2025-10-22,
EVT-HIRE-E00006,E00006,Hire,2025-02-14,
EVT-HIRE-E00007,E00007,Hire,2020-02-07,
EVT-HIRE-E00008,E00008,Hire,2020-05-17,
EVT-EXIT-E00008,E00008,Exit,2020-09-24,Resigned
EVT-HIRE-E00009,E00009,Hire,2022-12-27,
EVT-EXIT-E00009,E00009,Exit,2023-02-10,Resigned
EVT-HIRE-E00010,E00010,Hire,2021-05-09,
EVT-HIRE-E00011,E00011,Hire,2022-07-02,
EVT-HIRE-E00012,E00012,Hire,2025-10-31,
EVT-HIRE-E00013,E00013,Hire,2023-05-28,
EVT-HIRE-E00014,E00014,Hire,2024-06-22,
EVT-HIRE-E00015,E00015,Hire,2025-10-18,
EVT-EXIT-E00015,E00015,Exit,2025-12-30,Resigned
EVT-HIRE-E00016,E00016,Hire,2025-03-30,
EVT-EXIT-E00016,E00016,Exit,2025-07-18,Resigned
EVT-HIRE-E00017,E00017,Hire,2022-01-17,
EVT-HIRE-E00018,E00018,Hire,2021-06-27,
EVT-HIRE-E00019,E00019,Hire,2023-07-12,
EVT-HIRE-E00020,E00020,Hire,2023-12-05,
EVT-HIRE-E00021,E00021,Hire,2022-10-27,
EVT-HIRE-E00022,E00022,Hire,2020-03-24,
EVT-EXIT-E00022,E00022,Exit,2020-07-26,Layoff
EVT-HIRE-E00023,E00023,Hire,2023-12-29,
EVT-EXIT-E00023,E00023,Exit,2024-02-25,Performance / Termination
EVT-HIRE-E00024,E00024,Hire,2020-04-05,
EVT-HIRE-E00025,E00025,Hire,2023-07-24,
EVT-HIRE-E00026,E00026,Hire,2023-02-03,
EVT-HIRE-E00027,E00027,Hire,2025-11-13,
EVT-HIRE-E00028,E00028,Hire,2020-07-01,
EVT-HIRE-E00029,E00029,Hire,2022-02-16,
EVT-HIRE-E00030,E00030,Hire,2021-11-30,
EVT-HIRE-E00031,E00031,Hire,2025-12-19,
EVT-HIRE-E00032,E00032,Hire,2025-10-26,
EVT-HIRE-E00033,E00033,Hire,2023-08-24,
EVT-EXIT-E00033,E00033,Exit,2023-12-28,Retirement
EVT-HIRE-E00034,E00034,Hire,2024-04-12,
EVT-HIRE-E00035,E00035,Hire,2023-09-20,
EVT-EXIT-E00035,E00035,Exit,2023-11-27,Relocation
EVT-HIRE-E00036,E00036,Hire,2025-10-17,
EVT-HIRE-E00037,E00037,Hire,2023-10-19,
EVT-HIRE-E00038,E00038,Hire,2020-02-16,
EVT-HIRE-E00039,E00039,Hire,2020-07-01,
EVT-HIRE-E00040,E00040,Hire,2020-05-30,
EVT-EXIT-E00040,E00040,Exit,2020-08-22,Resigned
EVT-HIRE-E00041,E00041,Hire,2025-09-15,
EVT-HIRE-E00042,E00042,Hire,2022-11-20,
EVT-EXIT-E00042,E00042,Exit,2023-02-06,Resigned
EVT-HIRE-E00043,E00043,Hire,2025-06-24,
EVT-HIRE-E00044,E00044,Hire,2020-09-07,
EVT-HIRE-E00045,E00045,Hire,2021-09-22,
EVT-HIRE-E00046,E00046,Hire,2025-09-12,
EVT-EXIT-E00046,E00046,Exit,2025-12-30,Resigned
