EmployeeID,Gender,Age,MaritalStatus,Education,Department,JobRole,JobLevel,OfficeLocation,EmploymentType,HireDate,ExitDate,IsActive,ExitReason,SalaryAnnual,BonusPct,PerformanceRating,SatisfactionScore,TenureMonths,AbsenteeDays
E02861,Male,35,Married,Master,Finance,Credit Analyst,2,Bengaluru,Full-Time,2021-09-06,2021-12-29,False,Resigned,74500,10,2,6,3,9
E02721,Female,38,Single,Bachelor,IT,Data Analyst,3,Mumbai,Full-Time,2022-05-07,2022-09-29,False,Resigned,138000,5,3,8,4,0
E01877,Male,26,Married,High School,Finance,Credit Analyst,1,Hyderabad,Full-Time,2021-06-10,,True,,78000,10,3,9,55,3
E01954,Male,28,Married,High School,Human Resources,Recruiter,3,Bengaluru,Full-Time,2025-06-06,,True,,90000,10,5,5,6,5
E00129,Female,34,Married,PhD,Sales,Business Development,1,Mumbai,Full-Time,2024-03-01,2024-04-29,False,Layoff,73000,0,4,4,1,11
E00138,Male,32,Married,Master,Sales,Sales Executive,3,Delhi,Full-Time,2021-07-18,,True,,102500,0,5,1,54,13
E02149,male,30,Single,Bachelor,IT,Software Engineer,3,Bengaluru,Full-Time,2021-11-19,,True,,107000,0,5,6,50,9
E02093,Male,42,Married,PhD,Sales,Account Executive,5,Mumbai,Full-Time,2021-03-15,,True,,109000,0,3,2,58,11
E01810,Male,28,Married,Diploma,Finance,Financial Analyst,3,Mumbai,Full-Time,2023-02-07,,True,,85000,0,3,6,35,8
E02706,Female,42,Married,PhD,Operations,Operations Analyst,6,Remote,Full-Time,2020-12-25,,True,,122000,15,3,5,61,3
E02698,Female,27,Married,Master,IT,IT Support,1,Delhi,Full-Time,2025-12-10,,True,,108500,0,4,7,1,2
E01469,Male,31,Married,Diploma,Marketing,Content Writer,3,Delhi,Full-Time,2021-03-09,,True,,91000,15,3,3,58,8
E01727,Male,34,Married,Diploma,Human Resources,HR Analyst,3,Bengaluru,Full-Time,2025-08-07,2025-09-28,False,Retirement,83500,0,5,8,1,4
E00711,Male,34,Single,PhD,Operations,Quality Analyst,2,Hyderabad,Full-Time,2024-02-05,,True,,88000,5,3,4,23,0
E02942,Male,26,Single,PhD,Marketing,Content Writer,1,Chennai,Full-Time,2020-03-13,,True,,66000,0,5,4,70,5
E01887,Female,36,Divorced,High School,Research & Development,Research Scientist,4,Remote,Full-Time,2021-02-10,,True,,230500,0,3,8,59,17
E01441,Male,34,Single,High School,Marketing,Content Writer,4,Remote,Full-Time,2025-01-13,2025-03-22,False,Resigned,118500,0,2,2,2,2
E02533,Male,36,Married,High School,Finance,Credit Analyst,6,Hyderabad,Full-Time,2024-09-01,,True,,140000,10,3,6,16,1
E02649,Female,27,Married,PhD,Customer Support,Escalation Specialist,2,Mumbai,Full-Time,2025-06-29,2025-10-13,False,Retirement,50000,0,2,8,3,8
E00789,Male,28,Married,Bachelor,Customer Support,Support Agent,1,Bengaluru,Part-Time,2020-11-22,,True,,46000,0,3,6,62,0
E02693,Male,29,Single,PhD,Research & Development,Research Scientist,4,Chennai,Full-Time,2022-01-18,,True,,192500,0,3,8,48,4
E02594,Female,29,Married,Master,IT,DevOps Engineer,2,Mumbai,Full-Time,2025-11-09,,True,,148000,10,4,6,1,0
E00888,Female,26,Married,PhD,Customer Support,Escalation Specialist,2,Bengaluru,Part-Time,2024-10-24,2024-12-18,False,Resigned,61500,5,5,5,1,9
E00593,Female,32,Married,PhD,Finance,Accountant,1,Bengaluru,Full-Time,2024-06-09,,True,,81500,15,4,6,19,9
E01107,male,30,Married,Diploma,IT,IT Support,1,Bengaluru,Full-Time,2025-05-20,,True,,96500,0,4,8,7,8
E01361,male,30,Married,Bachelor,IT,DevOps Engineer,1,Remote,Full-Time,2023-02-03,,True,,92500,10,4,4,35,2
E02576,Male,45,Married,PhD,Customer Support,Support Lead,7,Mumbai,Full-Time,2023-02-12,2023-06-30,False,Resigned,108500,0,5,6,4,0
E00606,Male,36,Married,Diploma,IT,Data Analyst,5,Delhi,Full-Time,2020-04-03,,True,,180000,10,4,4,69,8
E00464,female,35,Married,Bachelor,Finance,Financial Analyst,2,Hyderabad,Full-Time,2025-03-07,2025-06-12,False,Layoff,95000,20,5,4,3,7
E01683,Female,24,Married,High School,Operations,Quality Analyst,1,Delhi,Full-Time,2022-11-30,,True,,73500,10,4,4,37,6
E00403,Male,27,Single,Bachelor,Customer Support,Escalation Specialist,2,Chennai,Full-Time,2020-01-02,2020-03-31,False,Resigned,81000,5,3,7,2,0
E01313,Female,28,Married,High School,Finance,Credit Analyst,1,Bengaluru,Full-Time,2020-07-28,,True,,91500,0,4,6,66,7
E02754,Female,35,Single,Diploma,IT,Data Analyst,3,Hyderabad,Part-Time,2022-08-02,,True,,177000,0,5,5,41,2
